source_plot_id,plot_code,let_out_id,let_out_name,letout_b_area_id,tenancy_id,tenancy_area_sqm,consumed_fsi,built_up_area_rec,built_up_area_commercial,is_active,status,from_date,to_date,update_timestamp
3108,101050008,500,36,273,10105113,543.4800,1.1900,0.0000,646.7400,True,,2004-04-01,,2022-10-21 00:00:00
3108,101050008,500,36,272,10105113,543.4800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3119,101050017,4176,OLD RR 1858,336,10105205,1957.7400,0.6300,0.0000,1233.3800,True,,2004-04-01,,2022-10-21 00:00:00
3119,101050017,4176,OLD RR 1858,335,10105205,1957.7400,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3128,101050026,517,LEASE OF PLOT,326,10105150,379.6900,1.0000,0.0000,379.6900,True,,2004-04-01,,2022-10-21 00:00:00
3128,101050026,517,LEASE OF PLOT,325,10105150,379.6900,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3129,101050027,518,LEASE OF PLOT 7,320,10105147,2400.9200,0.2600,0.0000,624.2400,True,,2004-04-01,,2022-10-21 00:00:00
3129,101050027,518,LEASE OF PLOT 7,319,10105147,2400.9200,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3148,101050044,537,RR NO.2040,4401,10105131,976.1400,0.0000,0.0000,0.0000,True,,2023-02-01,,2022-10-21 00:00:00
3148,101050044,537,RR NO.2040,4400,10105131,4734.6700,0.0000,0.0000,0.0000,True,,2022-11-01,2023-01-31,2022-10-21 00:00:00
3148,101050044,537,RR NO.2040,300,10105131,42853.0200,0.0000,0.0000,0.0000,True,,1873-01-01,2022-10-31,2022-10-21 00:00:00
8043,101050047,4550,9,255,10105104,48.7700,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8044,101050048,4551,R R 1984,280,10105117,10346.9800,0.6500,0.0000,5380.4300,True,,2004-04-01,,2022-10-21 00:00:00
8044,101050048,4551,R R 1984,279,10105117,10346.9800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8046,101050050,4553,11 WEST OF A & C SITES,293,10105127,167.9700,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8047,101050051,4554,10 WEST OF A&C SITES,294,10105128,165.7400,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8048,101050052,4555,8,299,10105130,272.3900,0.5100,0.0000,138.9200,True,,2004-04-01,,2022-10-21 00:00:00
8048,101050052,4555,8,298,10105130,272.3900,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3198,102010033,4937,"GWND OFFICE AT KALA CHOWKEY, SEWREE",417,10201136,330.1800,1.0000,0.0000,0.0000,True,,2018-12-01,,2022-10-21 00:00:00
3193,102020010,580,137 (PORTION OF RR-2060),556,10202217,35.1200,0.0000,0.0000,11.2400,True,,2004-04-01,,2022-10-21 00:00:00
3193,102020010,580,137 (PORTION OF RR-2060),555,10202217,35.1200,0.3200,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3220,102020036,616,RR 2060 AT ARCHED BUNGLOW,557,10202219,2926.4400,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
7993,102020039,4500,R R NO 2086,421,10202102,20.8800,1.0000,0.0000,20.8800,True,,2004-04-01,,2022-10-21 00:00:00
7993,102020039,4500,R R NO 2086,420,10202102,20.8800,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
7994,102020040,4501,28,424,10202104,1060.1200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
7996,102020042,4503,135,443,10202114,380.7200,0.2100,0.0000,79.9500,True,,2004-04-01,,2022-10-21 00:00:00
7996,102020042,4503,135,442,10202114,380.7200,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8051,102020043,4558,2 B (OLD 31B),545,10202211,63.9500,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8052,102020044,4559,36,552,10202215,52.0300,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
